统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,66.3237,4.1457,48
2,301,600,68.8421,1.9718,24
3,601,900,66.7317,1.2670,16
4,901,1200,66.0652,2.2553,26
5,1201,1500,64.8346,2.2920,26
6,1501,1800,68.5897,2.0991,25
7,1801,2100,68.0860,2.3735,29
8,2101,2400,67.1923,2.4440,28
9,2401,2700,66.2173,3.4320,41
10,2701,3000,63.9073,3.6497,40
11,3001,3300,66.6871,1.4033,17
