统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,600,252.44,1808.80,157.40,83
2,601,1200,242.58,1808.98,148.32,122
3,1201,1800,149.23,1808.88,51.95,101
4,1801,2400,154.52,1808.78,59.96,100
5,2401,3000,212.06,1808.85,116.45,126
6,3001,3600,264.05,1808.85,167.30,20
