统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,600,165.89,1052.85,109.90,108
2,601,1200,148.40,1052.91,92.46,96
3,1201,1800,100.26,1052.91,45.66,107
4,1801,2400,111.78,1052.71,56.57,117
5,2401,3000,163.39,1052.74,108.10,116
6,3001,3600,253.79,1052.62,198.98,20
