统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,300,24.83,0.00,0.87,0.12
2,301,600,69.91,0.00,31.30,4.29
3,601,900,22.20,0.00,1.33,0.23
4,901,1200,0.00,0.00,0.00,0.00
5,1201,1500,0.00,0.00,0.00,0.00
6,1501,1800,0.00,0.00,0.00,0.00
7,1801,2100,0.00,0.00,0.00,0.00
8,2101,2400,0.00,0.00,0.00,0.00
9,2401,2700,0.00,0.00,0.00,0.00
10,2701,3000,55.42,0.00,5.59,0.75
11,3001,3300,123.42,0.00,78.57,9.87
