统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,300,40.80,0.00,3.75,0.57
2,301,600,59.83,0.00,28.04,3.87
3,601,900,0.00,0.00,0.00,0.00
4,901,1200,0.00,0.00,0.00,0.00
5,1201,1500,0.00,0.00,0.00,0.00
6,1501,1800,0.00,0.00,0.00,0.00
7,1801,2100,0.00,0.00,0.00,0.00
8,2101,2400,0.00,0.00,0.00,0.00
9,2401,2700,4.87,0.00,0.11,0.02
10,2701,3000,135.05,0.00,58.74,7.79
11,3001,3300,171.00,0.00,133.32,17.78
