统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,300,59.18,0.00,0.84,0.11
2,301,600,81.10,0.00,30.55,4.05
3,601,900,21.24,0.00,1.32,0.21
4,901,1200,0.00,0.00,0.00,0.00
5,1201,1500,0.00,0.00,0.00,0.00
6,1501,1800,0.00,0.00,0.00,0.00
7,1801,2100,0.00,0.00,0.00,0.00
8,2101,2400,0.00,0.00,0.00,0.00
9,2401,2700,0.00,0.00,0.00,0.00
10,2701,3000,52.45,0.00,5.58,0.80
11,3001,3300,126.62,0.00,76.60,9.91
