统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,61.5858,3.3765,36
2,301,600,64.1133,2.4651,27
3,601,900,64.7053,1.6732,18
4,901,1200,67.2422,1.9812,22
5,1201,1500,66.3266,2.3306,29
6,1501,1800,66.9989,1.7803,20
7,1801,2100,67.5539,2.7610,33
8,2101,2400,64.8671,2.5102,29
9,2401,2700,61.8169,3.3933,35
10,2701,3000,62.0803,4.3070,49
11,3001,3300,57.2130,1.6627,17
