统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,105.00,0.00,41.31,10.89
2,201,400,114.29,0.00,78.79,25.93
3,401,600,121.96,0.00,87.86,54.81
4,601,800,117.90,0.00,56.22,39.62
5,801,1000,117.91,0.00,66.80,56.62
6,1001,1200,117.93,0.00,92.59,109.78
7,1201,1400,117.79,0.00,60.42,79.40
