统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,44.1523,3.1676,24
2,301,600,40.6174,6.2103,45
3,601,900,40.7161,6.3862,48
4,901,1200,41.5123,6.5026,46
5,1201,1500,42.5941,1.0260,8
