统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,24.96,0.00,6.81,1.33
2,201,400,48.19,0.00,13.24,2.23
3,401,600,47.21,0.00,18.87,3.40
4,601,800,83.75,0.00,19.02,2.97
5,801,1000,49.91,0.00,12.45,2.25
6,1001,1200,60.81,0.00,14.87,2.63
7,1201,1400,48.92,0.00,18.48,3.20
