统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,18.1676,4.2209,12
2,301,600,21.4125,5.7577,18
3,601,900,20.5535,7.6258,25
4,901,1200,20.6977,8.2741,27
5,1201,1500,20.1969,2.0191,7
