统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,47.19,0.00,8.87,1.56
2,201,400,137.97,0.00,53.22,13.57
3,401,600,147.17,0.00,35.73,10.36
4,601,800,135.64,0.00,52.16,12.13
5,801,1000,135.61,0.00,72.56,18.82
6,1001,1200,135.46,0.00,56.41,13.03
7,1201,1400,115.77,13.86,66.34,13.17
