统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,21.4474,3.9689,32
2,301,600,20.8751,10.7730,85
3,601,900,20.6432,11.1033,86
4,901,1200,20.9728,11.3862,90
5,1201,1500,20.7892,0.8072,7
