统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,17.6748,2.2135,13
2,301,600,14.1350,40.5753,25
3,601,900,16.7972,6.4320,21
4,901,1200,14.0280,29.1838,25
5,1201,1500,12.3202,5.3702,7
