统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,62.36,0.00,13.74,2.47
2,201,400,70.91,0.00,17.68,3.19
3,401,600,61.59,0.00,20.10,3.79
4,601,800,57.89,0.00,25.02,4.63
5,801,1000,71.31,0.00,19.94,3.54
6,1001,1200,63.13,0.00,16.80,3.12
7,1201,1400,45.20,21.09,31.89,5.86
