统计时段,车辆ID,仿真时间(s),已行驶时间(s),车辆类型,车长(m), 期望速度(km/h),当前速度(km/h),当前加速度(m/s2),跟车距离(m),跟车时距(s)
1,400005,61,51,小客车,4.78,55.60,55.10,0.09,997.61,3600.00
1,400019,167,64,小客车,4.01,40.20,3.95,0.01,997.99,3600.00
1,400031,169,56,小客车,4.21,44.30,18.01,2.33,9.64,1.93
1,400039,171,55,小客车,4.54,50.70,20.47,1.19,11.32,1.99
1,400049,174,59,小客车,4.11,42.10,21.46,0.82,12.14,2.04
1,400052,177,90,大客车,11.81,41.45,23.67,0.54,14.37,2.19
1,400054,180,89,小客车,4.04,40.80,24.11,0.32,14.45,2.16
1,400065,183,82,小客车,4.13,42.60,25.78,0.12,15.75,2.20
1,400071,186,78,小客车,4.02,40.40,30.18,0.00,21.83,2.60
1,400082,190,61,小客车,4.71,54.30,36.55,0.00,24.60,2.42
1,400089,196,54,小客车,4.58,51.50,46.14,0.00,51.07,3.98
1,400097,207,47,小客车,4.70,53.90,53.77,0.02,997.65,3600.00
1,400104,225,54,小客车,4.39,47.80,0.09,0.00,997.80,3600.00
2,400107,319,56,小客车,4.39,47.80,18.71,2.44,10.57,2.03
2,400113,322,58,小客车,4.42,48.50,21.59,1.36,12.30,2.05
2,400114,324,61,小客车,4.11,42.20,22.80,0.86,13.19,2.08
2,400124,326,107,小客车,4.61,52.20,23.29,0.41,13.30,2.06
2,400126,329,108,小客车,4.08,41.60,22.13,0.22,12.92,2.10
2,400138,332,99,小客车,4.36,47.20,22.22,0.25,12.71,2.06
2,400145,334,88,小客车,4.26,45.30,23.64,0.14,13.79,2.10
2,400155,338,69,小客车,4.07,41.40,30.34,0.00,21.75,2.58
2,400164,342,64,小客车,4.68,53.70,41.42,0.00,32.25,2.80
2,400174,348,61,小客车,4.13,42.60,40.30,0.00,58.16,5.20
2,400193,467,58,小客车,4.13,42.70,5.93,0.02,997.93,3600.00
2,400199,469,56,小客车,4.46,49.10,18.25,2.31,10.31,2.03
2,400206,472,52,小客车,4.35,47.00,20.91,1.30,11.87,2.04
2,400208,474,57,小客车,4.84,56.80,20.97,0.36,11.87,2.04
2,400211,477,116,小客车,4.08,41.70,20.32,0.33,11.61,2.06
2,400217,479,111,小客车,4.71,54.10,21.24,0.37,12.03,2.04
2,400227,482,105,小客车,4.17,43.40,21.98,0.32,12.67,2.08
2,400238,485,94,小客车,4.71,54.20,23.81,0.20,13.57,2.05
2,400247,488,86,小客车,4.84,56.80,32.78,0.00,20.36,2.24
2,400252,493,79,大客车,12.22,44.80,35.72,0.00,31.01,3.13
2,400263,498,63,小客车,4.33,46.50,39.51,0.00,35.78,3.26
3,400295,617,46,小客车,4.63,52.60,7.90,0.03,997.68,3600.00
3,400297,619,50,小客车,4.43,48.70,20.10,2.56,11.43,2.05
3,400304,622,44,小客车,4.96,59.20,23.51,1.11,13.30,2.04
3,400310,624,54,小客车,4.71,54.20,21.71,0.46,12.32,2.04
3,400316,627,94,小客车,4.28,45.50,22.40,0.51,12.82,2.06
3,400324,629,83,小客车,4.00,40.00,22.82,0.42,13.46,2.12
3,400326,632,80,小客车,4.06,41.20,23.27,0.34,13.73,2.12
3,400335,634,73,小客车,4.96,59.10,23.98,0.32,13.64,2.05
3,400343,643,64,小客车,4.32,46.40,40.97,0.00,42.22,3.71
3,400344,638,58,小客车,4.32,46.40,31.11,0.00,20.56,2.38
3,400369,767,55,小客车,4.32,46.30,5.94,0.02,997.84,3600.00
3,400372,769,53,小客车,4.22,44.50,18.84,2.36,10.58,2.02
3,400374,771,62,小客车,4.04,40.80,20.48,1.26,11.66,2.05
3,400383,774,60,小客车,4.97,59.40,22.53,0.73,12.64,2.02
3,400391,776,109,小客车,4.29,45.90,19.96,0.00,11.39,2.05
3,400397,779,103,小客车,4.41,48.10,19.88,0.24,11.22,2.03
3,400402,783,101,大客车,12.46,46.85,22.20,0.31,13.23,2.14
3,400415,786,84,小客车,4.64,52.90,27.98,0.00,16.61,2.14
3,400418,790,80,小客车,4.17,43.50,34.53,0.00,27.43,2.86
3,400426,795,73,小客车,4.09,41.90,37.14,0.00,37.83,3.67
3,400437,799,54,小客车,4.87,57.40,45.25,0.00,35.28,2.81
3,400445,815,53,小客车,4.50,50.00,49.92,0.02,997.75,3600.00
