统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,46.6855,3.2258,27
2,301,600,45.5317,4.5832,38
3,601,900,46.0854,4.5079,38
4,901,1200,47.1656,3.3927,29
5,1201,1500,42.2536,0.3752,3
