统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,42.5309,3.6496,29
2,301,600,40.7448,5.3038,40
3,601,900,40.3236,5.9989,45
4,901,1200,40.6750,6.6452,50
5,1201,1500,46.0854,0.6008,5
