统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,32.67,0.00,9.96,1.78
2,201,400,42.53,0.00,12.27,2.27
3,401,600,65.43,0.00,19.29,3.02
4,601,800,48.20,0.00,19.90,3.54
5,801,1000,58.98,0.00,19.96,3.07
6,1001,1200,42.50,0.00,14.50,2.62
7,1201,1400,20.65,11.29,12.34,2.14
