统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,49.91,0.00,12.03,2.15
2,201,400,45.00,0.00,12.26,2.33
3,401,600,46.02,0.00,14.07,2.04
4,601,800,84.61,0.00,27.09,4.76
5,801,1000,69.36,0.00,25.17,4.55
6,1001,1200,85.31,0.00,38.10,6.46
7,1201,1400,97.51,0.00,43.16,6.86
