统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,20.7493,5.0133,39
2,301,600,21.0211,6.8285,55
3,601,900,21.5059,8.0665,64
4,901,1200,20.9097,7.7678,63
5,1201,1500,22.3772,0.7265,6
