统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,22.4133,3.2468,27
2,301,600,20.0696,17.2508,128
3,601,900,20.2621,15.5627,119
4,901,1200,20.1737,16.6834,126
5,1201,1500,19.9176,2.0771,17
