统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
2,301,600,17.1212,0.9875,7
3,601,900,20.6913,0.6901,5
4,901,1200,21.5861,1.0000,7
5,1201,1500,20.3627,0.3027,2
