统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,21.3149,7.9380,63
2,301,600,20.9746,10.8947,85
3,601,900,21.3607,10.5596,85
4,901,1200,21.0033,11.7130,92
5,1201,1500,21.1546,1.1130,9
