统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,55.64,0.00,12.55,1.98
2,201,400,61.49,0.00,27.01,5.49
3,401,600,68.36,0.00,23.82,4.68
4,601,800,69.88,0.00,27.82,5.04
5,801,1000,73.13,0.00,31.14,6.17
6,1001,1200,69.02,0.00,25.25,4.46
7,1201,1400,28.74,15.50,17.77,3.34
