统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,102.23,0.00,23.55,4.07
2,201,400,78.21,0.00,15.01,1.95
3,401,600,66.47,0.00,18.38,2.98
4,601,800,68.51,0.00,14.67,2.54
5,801,1000,98.89,0.00,26.83,3.83
6,1001,1200,49.00,0.00,22.19,3.92
7,1201,1400,50.58,0.00,21.95,3.74
