统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,46.8706,2.0692,17
2,301,600,43.8129,3.6603,29
3,601,900,40.7924,4.5832,33
4,901,1200,42.4596,4.1963,32
5,1201,1500,55.8834,0.3180,3
