统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,46.4966,3.5306,29
2,301,600,42.8233,5.2277,41
3,601,900,41.7472,5.7742,45
4,901,1200,41.5448,5.4509,42
5,1201,1500,42.1829,0.8760,7
