统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,42.39,0.00,10.04,1.77
2,201,400,50.09,0.00,9.41,1.71
3,401,600,47.54,0.00,13.44,2.46
4,601,800,47.09,0.00,17.77,3.26
5,801,1000,48.98,0.00,13.90,2.44
6,1001,1200,45.05,0.00,10.83,1.93
7,1201,1400,35.30,4.72,13.84,2.09
