统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,45.9552,4.0042,31
2,301,600,44.3704,5.6720,46
3,601,900,43.6405,5.8510,47
4,901,1200,43.6709,5.9592,48
5,1201,1500,46.5464,0.4691,4
