统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,22.1057,4.6050,38
2,301,600,20.1394,12.6146,98
3,601,900,20.3086,12.7535,97
4,901,1200,20.2780,14.1184,108
5,1201,1500,21.2789,1.5354,12
