统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,62.12,0.00,8.76,1.42
2,201,400,60.56,0.00,14.42,2.52
3,401,600,89.39,0.00,19.96,3.38
4,601,800,52.02,0.00,12.84,2.35
5,801,1000,64.92,0.00,12.64,2.13
6,1001,1200,37.20,0.00,12.52,1.97
7,1201,1400,40.05,0.00,16.10,2.20
