统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,48.70,0.00,11.19,2.00
2,201,400,49.78,0.00,13.94,2.42
3,401,600,66.42,0.00,17.25,3.04
4,601,800,56.53,0.00,20.84,3.69
5,801,1000,61.62,0.00,15.83,2.81
6,1001,1200,61.25,0.00,13.43,2.49
7,1201,1400,37.63,16.00,23.37,4.14
