统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,48.8824,2.5665,23
2,301,600,45.0774,3.1979,27
3,601,900,43.0995,3.4929,29
4,901,1200,43.8805,3.8292,28
5,1201,1500,41.5353,0.9577,6
