统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,45.4652,5.8246,46
2,301,600,45.2941,5.3974,41
3,601,900,35.5791,12.1165,70
4,901,1200,26.1714,20.1630,68
