统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,23.7140,6.2919,18
2,301,600,20.6425,8.0610,28
3,601,900,18.9891,8.5700,28
4,901,1200,18.4127,8.9746,28
5,1201,1500,18.9775,2.0677,7
