统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,27.6358,62.6673,13
2,301,600,25.1365,5.4220,21
3,601,900,25.5651,6.2252,22
4,901,1200,29.0441,6.8435,26
5,1201,1500,23.8014,1.9630,7
