统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,14.84,0.00,4.94,0.92
2,201,400,20.72,0.00,6.52,1.20
3,401,600,19.91,0.00,5.76,1.13
4,601,800,18.88,0.00,3.19,0.69
5,801,1000,15.25,0.00,3.99,0.78
6,1001,1200,15.58,0.00,6.95,1.24
7,1201,1400,0.00,0.00,0.00,0.00
