统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,23.9479,0.7219,6
2,301,600,20.8549,6.3534,49
3,601,900,20.2443,7.5047,58
4,901,1200,20.0891,7.1047,52
5,1201,1500,21.5371,1.4593,11
