统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,21.9879,7.1393,58
2,301,600,21.3170,8.6993,71
3,601,900,21.2492,8.1210,65
4,901,1200,20.7908,9.4348,75
5,1201,1500,21.5124,1.4410,11
