统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,20.6478,12.2606,94
2,301,600,21.0032,14.8582,115
3,601,900,20.6268,13.6979,106
4,901,1200,20.9875,15.9335,125
5,1201,1500,19.9982,2.1919,16
