统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,45.8055,5.4702,44
2,301,600,42.8454,6.3409,47
3,601,900,43.0391,5.0827,39
4,901,1200,45.9586,4.4907,36
5,1201,1500,39.9812,0.9589,7
