统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,25.9550,0.5815,3
2,301,600,25.1479,2.0939,10
3,601,900,24.7878,2.1448,8
4,901,1200,25.0719,3.6471,13
5,1201,1500,24.2234,1.0948,5
