统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,21.2126,5.0926,17
2,301,600,20.9141,9.7122,31
3,601,900,20.0302,8.4438,27
4,901,1200,20.4312,8.1225,30
5,1201,1500,22.0151,3.2458,13
