统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,19.9990,45.3244,12
2,301,600,19.1404,1.9855,14
3,601,900,19.6184,12.2870,18
4,901,1200,18.9808,9.3677,17
5,1201,1500,1.1001,4.9906,1
