统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,73.93,188.56,51.85,15
2,301,600,84.47,188.52,61.81,32
3,601,900,102.99,188.66,79.38,27
4,901,1200,133.47,188.77,110.14,30
5,1201,1500,155.46,188.78,133.30,11
