统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,23.3219,17.7871,52
2,301,600,23.0006,37.3938,56
3,601,900,22.3424,14.7465,52
4,901,1200,24.4258,12.6207,46
5,1201,1500,23.0145,3.2208,9
