统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,300,81.55,0.00,16.04,2.79
2,301,600,233.70,0.00,50.25,8.74
3,601,900,347.29,0.00,69.18,11.55
4,901,1200,340.85,0.00,90.81,14.11
5,1201,1500,55.58,0.00,10.82,1.98
