统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,80.50,160.40,57.40,2
2,301,600,23.20,159.89,0.18,2
3,601,900,23.30,160.21,0.23,2
4,901,1200,23.30,160.41,0.20,2
