统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,26.49,208.57,0.30,9
2,301,600,33.03,208.69,6.91,26
3,601,900,26.99,208.94,0.84,17
4,901,1200,31.24,208.82,6.47,32
