统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,63.10,191.21,35.57,1
2,301,600,45.35,191.21,17.82,2
3,601,900,27.60,191.21,0.07,2
4,901,1200,63.10,191.21,35.57,1
