线路编号,线路名称,车辆ID,行驶区间,乘客数,行程距离(m),行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),站点编号,上客数,下客数,乘客站点平均侯车时间(s),乘客总候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客区间平均停车时间(s),乘客站点总停车时间(s),乘客站点平均停车时间(s)
4334,151路,900001,->4243,10,415.36,112.10,1,36.10,25.10,11.00,4243,3,1,65.10,195.30,350.00,251.00,25.10,99.00,11.00
4334,151路,900001,4243->,12,450.86,65.80,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4334,151路,900002,->4243,10,414.74,105.90,1,30.10,21.10,9.00,4243,2,1,58.90,117.80,292.00,211.00,21.10,81.00,9.00
4334,151路,900002,4243->,11,452.64,66.10,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4334,151路,900003,->4243,10,415.61,102.00,1,26.10,17.10,9.00,4243,2,1,85.00,170.00,252.00,171.00,17.10,81.00,9.00
4334,151路,900003,4243->,11,449.68,65.60,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4334,151路,900004,->4243,10,415.41,100.10,1,24.10,13.10,11.00,4243,3,1,83.10,249.30,230.00,131.00,13.10,99.00,11.00
4334,151路,900004,4243->,12,449.59,66.10,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4334,151路,900005,->4243,10,416.06,94.00,1,18.10,9.10,9.00,4243,2,1,77.00,154.00,172.00,91.00,9.10,81.00,9.00
4334,151路,900005,4243->,11,449.34,76.00,1,2.50,2.50,0.00, ,0,0,0.00,0.00,27.50,27.50,2.50,0.00,0.00
4334,151路,900006,->4243,10,415.95,92.00,1,16.10,5.10,11.00,4243,3,1,75.00,225.00,150.00,51.00,5.10,99.00,11.00
4334,151路,900006,4243->,12,449.83,83.30,1,9.60,9.60,0.00, ,0,0,0.00,0.00,115.20,115.20,9.60,0.00,0.00
4334,151路,900007,->4243,10,415.82,86.00,1,10.00,1.00,9.00,4243,2,1,69.00,138.00,91.00,10.00,1.00,81.00,9.00
4334,151路,900007,4243->,11,449.39,94.80,1,20.60,20.60,0.00, ,0,0,0.00,0.00,226.60,226.60,20.60,0.00,0.00
4334,151路,900008,->4243,10,415.85,84.00,0,11.00,0.00,11.00,4243,3,1,67.00,201.00,99.00,0.00,0.00,99.00,11.00
4334,151路,900008,4243->,12,87.10,48.40,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
