统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,25.2787,3.0390,12
2,301,600,23.6517,6.8684,30
3,601,900,23.5886,7.5059,33
4,901,1200,24.8861,6.1218,26
5,1201,1500,24.6142,1.4974,5
