统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,96.50,150.58,74.82,2
2,301,600,106.40,150.57,84.72,2
3,601,900,115.70,145.55,94.74,2
4,901,1200,124.60,155.61,102.19,1
5,1201,1500,75.00,148.06,53.68,2
