统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,215.70,722.72,111.63,1
2,301,600,181.60,723.04,77.48,2
3,601,900,137.25,723.06,33.13,2
4,901,1200,240.50,723.04,136.38,1
