统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,53.84,214.59,27.72,77
2,301,600,84.81,214.69,58.42,85
3,601,900,84.90,214.80,58.63,92
4,901,1200,92.40,215.05,66.23,89
5,1201,1500,53.95,214.55,27.69,16
