线路编号,线路名称,车辆ID,行驶区间,乘客数,行程距离(m),行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),站点编号,上客数,下客数,乘客站点平均侯车时间(s),乘客总候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客区间平均停车时间(s),乘客站点总停车时间(s),乘客站点平均停车时间(s)
4337,156路,1000001,->4248,10,374.25,105.40,1,59.60,48.60,11.00,4248,3,1,73.40,220.20,585.00,486.00,48.60,99.00,11.00
4337,156路,1000001,4248->4250,12,230.73,37.90,0,11.00,0.00,11.00,4250,3,2,111.30,333.90,110.00,0.00,0.00,110.00,11.00
4337,156路,1000001,4250->4251,13,155.22,34.50,0,13.00,0.00,13.00,4251,4,2,115.80,463.20,143.00,0.00,0.00,143.00,13.00
4337,156路,1000001,4251->,15,428.77,121.90,1,81.00,81.00,0.00, ,0,0,0.00,0.00,1215.00,1215.00,81.00,0.00,0.00
4337,156路,1000002,->4248,10,374.89,83.30,1,37.60,28.60,9.00,4248,2,1,81.30,162.60,367.00,286.00,28.60,81.00,9.00
4337,156路,1000002,4248->4250,11,230.73,37.80,0,11.00,0.00,11.00,4250,3,2,89.10,267.30,99.00,0.00,0.00,99.00,11.00
4337,156路,1000002,4250->4251,12,155.22,30.40,0,9.00,0.00,9.00,4251,2,2,89.50,179.00,90.00,0.00,0.00,90.00,9.00
4337,156路,1000002,4251->,12,428.77,114.20,1,73.30,73.30,0.00, ,0,0,0.00,0.00,879.60,879.60,73.30,0.00,0.00
4337,156路,1000003,->4248,10,374.50,65.40,1,19.50,8.50,11.00,4248,3,1,93.40,280.20,184.00,85.00,8.50,99.00,11.00
4337,156路,1000003,4248->4250,12,230.73,37.80,0,11.00,0.00,11.00,4250,3,2,71.20,213.60,110.00,0.00,0.00,110.00,11.00
4337,156路,1000003,4250->4251,13,155.22,32.40,0,11.00,0.00,11.00,4251,3,2,103.60,310.80,121.00,0.00,0.00,121.00,11.00
4337,156路,1000003,4251->,14,428.77,96.10,1,55.20,55.20,0.00, ,0,0,0.00,0.00,772.80,772.80,55.20,0.00,0.00
4337,156路,1000004,->4248,10,374.66,51.90,0,11.00,0.00,11.00,4248,3,1,79.90,239.70,99.00,0.00,0.00,99.00,11.00
4337,156路,1000004,4248->4250,12,230.73,38.10,0,9.00,0.00,9.00,4250,2,2,88.00,176.00,90.00,0.00,0.00,90.00,9.00
4337,156路,1000004,4250->4251,12,155.22,33.80,0,11.00,0.00,11.00,4251,3,2,91.80,275.40,110.00,0.00,0.00,110.00,11.00
4337,156路,1000004,4251->,13,428.73,78.00,1,32.60,32.60,0.00, ,0,0,0.00,0.00,423.80,423.80,32.60,0.00,0.00
4337,156路,1000005,->4248,10,374.68,50.70,0,11.00,0.00,11.00,4248,3,1,78.70,236.10,99.00,0.00,0.00,99.00,11.00
4337,156路,1000005,4248->4250,12,230.73,39.50,0,11.00,0.00,11.00,4250,3,2,118.20,354.60,110.00,0.00,0.00,110.00,11.00
4337,156路,1000005,4250->4251,13,155.22,33.40,0,11.00,0.00,11.00,4251,3,2,91.60,274.80,121.00,0.00,0.00,121.00,11.00
4337,156路,1000005,4251->,14,427.97,42.90,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4337,156路,1000006,->4248,10,374.65,51.10,0,11.00,0.00,11.00,4248,3,1,79.10,237.30,99.00,0.00,0.00,99.00,11.00
4337,156路,1000006,4248->4250,12,230.73,39.60,0,11.00,0.00,11.00,4250,3,2,118.70,356.10,110.00,0.00,0.00,110.00,11.00
4337,156路,1000006,4250->4251,13,155.22,93.90,1,62.60,49.60,13.00,4251,4,2,122.60,490.40,787.80,644.80,49.60,143.00,13.00
4337,156路,1000006,4251->,15,285.29,82.80,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4337,156路,1000007,->4248,10,220.34,87.40,0,0.00,0.00,0.00,4248,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
