统计时段,起始时间(s),结束时间(s),平均行程时间(s),平均行程距离(m),车均延误(s),车辆数
1,1,300,132.20,798.92,28.71,6
2,301,600,161.15,799.83,58.18,18
3,601,900,199.29,800.20,98.29,16
4,901,1200,211.20,800.61,116.52,25
