统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,40.5151,6.5636,48
2,301,600,35.2930,14.1894,70
3,601,900,35.2842,16.1343,104
4,901,1200,23.5092,57.5327,40
5,1201,1500,18.5664,6.2685,20
