统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,43.1107,5.2450,40
2,301,600,36.6858,9.0262,54
3,601,900,41.2903,5.3671,38
4,901,1200,37.5195,6.7657,46
