统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,43.9749,2.5981,19
2,301,600,41.7866,5.0051,38
3,601,900,40.0708,6.3956,47
4,901,1200,36.8977,8.5754,52
5,1201,1500,40.3910,1.1932,8
