统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,20.7493,5.0132,39
2,301,600,21.0225,6.8281,55
3,601,900,21.5948,7.5150,61
4,901,1200,20.9096,7.7679,63
5,1201,1500,22.6154,0.9793,8
