统计时段,起始时间(s),结束时间(s),平均车速(km/h),占有率(%),车辆数
1,1,300,22.1057,4.6050,38
2,301,600,20.1178,12.9133,100
3,601,900,20.4408,13.2664,102
4,901,1200,20.5366,13.4895,103
5,1201,1500,20.0924,2.3005,18
