统计时段,起始时间(s),结束时间(s),最大排队长度(m),最小排队长度(m),平均排队长度(m),平均排队车辆数(n)
1,1,200,4.67,0.00,1.18,0.26
2,201,400,115.84,0.00,45.22,7.40
3,401,600,111.41,0.00,34.14,5.33
4,601,800,115.47,0.00,56.88,9.90
5,801,1000,96.87,0.00,55.18,8.96
6,1001,1200,91.45,0.00,30.16,5.04
7,1201,1400,31.62,16.51,21.16,3.76
